name,author,downloads,link,theme,license,supported_glyphs,thumbnail_image
Verve,Dieter Steffmann,399783,https://www.dafont.com/verve.font,Retro,100% Free,à,https://www.dafont.com/img/preview/v/e/verve2.png
Capture it,Magique Fonts,5239757,https://www.dafont.com/capture-it.font,"Stencil, Army",100% Free,"à, €",https://www.dafont.com/img/preview/c/a/capture_it0.png
Swamp Witch,Sinister Fonts,418839,https://www.dafont.com/swamp-witch.font,Horror,100% Free,not provided,https://www.dafont.com/img/preview/s/w/swamp_witch0.png
Bleeding Cowboys,Segments Design (aka Last Soundtrack),6436585,https://www.dafont.com/bleeding-cowboys.font,Western,Free for personal use,not provided,https://www.dafont.com/img/preview/b/l/bleeding_cowboys0.png
Rock Wastro,Storytype Studio,6891,https://www.dafont.com/rock-wastro.font,Various,Free for personal use,"à, €",https://www.dafont.com/img/preview/r/o/rock_wastro0.png
Fighting Spirit,PressGang Studios,1228449,https://www.dafont.com/fighting-spirit-tbs.font,Comic,Free for personal use,not provided,https://www.dafont.com/img/preview/f/i/fighting_spirit_tbs0.png
1942 Report,Johan Holmdahl,2709477,https://www.dafont.com/1942-report.font,Typewriter,100% Free,not provided,https://www.dafont.com/img/preview/1/9/1942_report0.png
Plane Crash,The Wondermaker,2760099,https://www.dafont.com/plane-crash.font,Eroded,Free for personal use,€,https://www.dafont.com/img/preview/p/l/plane_crash0.png
Shadow Of The Deads,imagex,323989,https://www.dafont.com/shadow-of-the-deads.font,Horror,Free for personal use,not provided,https://www.dafont.com/img/preview/s/h/shadow_of_the_deads2.png
Nightmare in Bolloland,Woodcutter,3005,https://www.dafont.com/nightmare-in-bolloland.font,Horror,Free for personal use,€,https://www.dafont.com/img/preview/n/i/nightmare_in_bolloland0.png
Aurora,Storytype Studio,98492,https://www.dafont.com/aurora-6.font,Retro,Free for personal use,"à, €",https://www.dafont.com/img/preview/a/u/aurora_60.png
Fruits Delight,Storytype Studio,327,https://www.dafont.com/fruits-delight.font,Groovy,Free for personal use,"à, €",https://www.dafont.com/img/preview/f/r/fruits_delight0.png
Championship,imagex,1062672,https://www.dafont.com/championship.font,Old School,Free for personal use,"à, €",https://www.dafont.com/img/preview/c/h/championship0.png
Mercy Christole,HansCo,70427,https://www.dafont.com/mercy-christole.font,Curly,Free for personal use,"à, €",https://www.dafont.com/img/preview/m/e/mercy_christole0.png
Halloween Too,Phelan Riessen,330389,https://www.dafont.com/halloween-too.font,Horror,Free for personal use,not provided,https://www.dafont.com/img/preview/h/a/halloween_too0.png
Flower Girl,Geronimo Font Studios,400796,https://www.dafont.com/flower-girl.font,Decorative,Free for personal use,not provided,https://www.dafont.com/img/preview/f/l/flower_girl0.png
Plante,Gilangs,193597,https://www.dafont.com/plante.font,Decorative,100% Free,not provided,https://www.dafont.com/img/preview/p/l/plante0.png
Psycho,Billy Argel Fonts ®,39986,https://www.dafont.com/psycho-2.font,Groovy,Free for personal use,à,https://www.dafont.com/img/preview/p/s/psycho_20.png
Martyric,Mans Greback,869854,https://www.dafont.com/martyric.font,Horror,Free for personal use,"à, €",https://www.dafont.com/img/preview/m/a/martyric0.png
Super Organic,fsuarez913,5561,https://www.dafont.com/super-organic.font,Cartoon,100% Free,"à, €",https://www.dafont.com/img/preview/s/u/super_organic0.png
Earwig Factory,Typodermic Fonts,1925243,https://www.dafont.com/earwig-factory.font,Decorative,100% Free,"à, €",https://www.dafont.com/img/preview/e/a/earwig_factory0.png
Soccer League,Vladimir Nikolic,541964,https://www.dafont.com/soccer-league.font,Old School,Free for personal use,not provided,https://www.dafont.com/img/preview/s/o/soccer_league3.png
Letter Magic,HansCo,461014,https://www.dafont.com/letter-magic.font,Groovy,Free for personal use,"à, €",https://www.dafont.com/img/preview/l/e/letter_magic0.png
Old Newspaper Types,Manfred Klein,1479505,https://www.dafont.com/oldnewspapertypes.font,Typewriter,100% Free,"à, €",https://www.dafont.com/img/preview/o/l/oldnewspapertypes0.png
Super Dream,fsuarez913,105100,https://www.dafont.com/super-dream.font,Groovy,100% Free,"à, €",https://www.dafont.com/img/preview/s/u/super_dream0.png
Calinastiya,Patria Ari Typestudio,327788,https://www.dafont.com/calinastiya.font,Curly,Free for personal use,not provided,https://www.dafont.com/img/preview/c/a/calinastiya0.png
Cakecafe,Khurasan,114014,https://www.dafont.com/cakecafe.font,Comic,100% Free,€,https://www.dafont.com/img/preview/c/a/cakecafe1.png
Forever Dreaming,Subectype & Orenari,299,https://www.dafont.com/forever-dreaming.font,Groovy,Free for personal use,"à, €",https://www.dafont.com/img/preview/f/o/forever_dreaming0.png
Mainstay,Ahwe Project,334276,https://www.dafont.com/mainstay.font,Groovy,Free for personal use,€,https://www.dafont.com/img/preview/m/a/mainstay1.png
Neon Led Light,Qaratype2,462411,https://www.dafont.com/neon-led-light.font,Retro,Free for personal use,not provided,https://www.dafont.com/img/preview/n/e/neon_led_light0.png
Infected,Pi Luo Chiu,2690623,https://www.dafont.com/infected.font,Destroy,Donationware,not provided,https://www.dafont.com/img/preview/i/n/infected0.png
Action Comics,imagex,1159215,https://www.dafont.com/action-comics.font,Comic,Free for personal use,€,https://www.dafont.com/img/preview/a/c/action_comics0.png
